date,tmean,precip
1986-01-01 00:00:00,,0.0
1986-01-01 09:00:00,2.1,
1986-01-02 00:00:00,,9.6
1986-01-02 09:00:00,3.65,
1986-01-03 00:00:00,,25.2
1986-01-03 09:00:00,5.55,
1986-01-04 00:00:00,,0.0
1986-01-04 09:00:00,0.9499999999999996,
1986-01-05 00:00:00,,5.7
1986-01-05 09:00:00,2.4000000000000004,
1986-01-06 00:00:00,,0.1
1986-01-06 09:00:00,2.3,
1986-01-07 00:00:00,,0.2
1986-01-07 09:00:00,1.25,
1986-01-08 00:00:00,,13.2
1986-01-08 09:00:00,2.0,
1986-01-09 00:00:00,,4.3
1986-01-09 09:00:00,2.55,
1986-01-10 00:00:00,,1.9
1986-01-10 09:00:00,6.1,
1986-01-11 00:00:00,,1.3
1986-01-11 09:00:00,8.899999999999999,
1986-01-12 00:00:00,,1.1
1986-01-12 09:00:00,6.3,
1986-01-13 00:00:00,,0.0
1986-01-13 09:00:00,7.3,
1986-01-14 00:00:00,,0.0
1986-01-14 09:00:00,9.3,
1986-01-15 00:00:00,,0.4
1986-01-15 09:00:00,7.3,
1986-01-16 00:00:00,,0.4
1986-01-16 09:00:00,4.65,
1986-01-17 00:00:00,,0.0
1986-01-17 09:00:00,1.65,
1986-01-18 00:00:00,,1.2
1986-01-18 09:00:00,7.4,
1986-01-19 00:00:00,,1.1
1986-01-19 09:00:00,10.75,
1986-01-20 00:00:00,,0.3
1986-01-20 09:00:00,7.699999999999999,
1986-01-21 00:00:00,,4.3
1986-01-21 09:00:00,6.8,
1986-01-22 00:00:00,,2.7
1986-01-22 09:00:00,6.35,
1986-01-23 00:00:00,,4.6
1986-01-23 09:00:00,7.8,
1986-01-24 00:00:00,,1.0
1986-01-24 09:00:00,5.15,
1986-01-25 00:00:00,,0.0
1986-01-25 09:00:00,2.75,
1986-01-26 00:00:00,,0.0
1986-01-26 09:00:00,0.2000000000000001,
1986-01-27 00:00:00,,0.0
1986-01-27 09:00:00,0.4999999999999998,
